
Date,Event Name,Link
"Saturday, January 4, 2025",World Braille Day,https://www.internationaldays.org/event/world-braille-day
"Friday, January 24, 2025",International Day of Education,https://www.internationaldays.org/event/international-day-of-education
"Monday, January 27, 2025",International Day of Commemoration in memory of the victims of the Holocaust,https://www.internationaldays.org/event/international-day-of-commemoration-memory-victims-holocaust
"Sunday, February 2, 2025",World Wetlands Day,https://www.internationaldays.org/event/world-wetlands-day
"Tuesday, February 4, 2025",World Cancer Day,https://www.internationaldays.org/event/world-cancer-day
